"stimulation" "img" "nucleus" "gene" "x" "y" "z" "px" "py" "pz" "dist" "ci" "mean" "max" "median" "nMean" "nMinimum" "nMaximum" "nMedian" "nSigma" "nKurtosis" "nSkewness"
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_28.lsm" 1 "wap" 257 256 14 14.606594903 14.5618705425 3.43068627451 1.27068608658 0.832868963334 94.1538461538 104.0 94.046875 91.0384615385 76.0 105.0 90.650390625 7.69665261906 -0.740517864128 -0.11910206498
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_28.lsm" 1 "wap" 329 198 19 18.7501306312 11.2722070766 4.48883834281 1.27116187543 0.887578588787 52.3829787234 66.0 50.984375 91.1063829787 76.0 107.0 90.650390625 7.82202587612 -0.661206657214 -0.0122387352389
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_28.lsm" 1 "wap" 364 228 20 20.701291901 12.9754836885 4.86561151079 0.894388589928 0.680608404197 82.53125 98.0 81.859375 96.21875 78.0 114.0 95.873046875 7.61041042088 0.0549302211725 -0.178773825403
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_28.lsm" 1 "wap" 230 292 20 13.0730390349 16.6141433865 4.77784194529 0.982158115751 0.735767479726 45.3793103448 60.0 44.078125 100.810344828 79.0 116.0 100.349609375 8.43230400046 -0.486897525757 -0.338250076752
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_28.lsm" 1 "cas" 357 167 13 20.3409132307 9.50578016928 3.04727489565 0.407274745658 0.245843808862 95.8285714286 167.0 86.955078125 72.2476190476 23.0 111.0 77.966796875 22.734279895 -0.788136841196 -0.425795972819
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_28.lsm" 1 "cas" 387 303 16 22.0389781549 17.2356211823 3.80258647839 0.204265807765 0.112284918722 107.286103542 211.0 96.845703125 66.9182561308 14.0 119.0 68.267578125 26.6535938423 -1.17693375686 -0.195686006564
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_28.lsm" 1 "cas" 399 88 17 22.6985002822 5.0085731779 4.07766814916 0.30975311 0.232280665526 104.392857143 196.0 96.021484375 102.328571429 25.0 143.0 113.033203125 28.3222477636 -0.288694611745 -0.89719274961
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_28.lsm" 1 "cas" 406 122 22 23.111118594 6.96671381067 5.22820991986 0.531790152722 0.430317985885 97.3992805755 172.0 91.076171875 91.7446043165 49.0 127.0 95.126953125 19.5149546383 -0.92113732919 -0.46647756411
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_29.lsm" 1 "wap" 296 166 20 21.1485923602 11.8687575566 4.9013785637 1.30994394236 0.62224612234 178.774193548 207.0 179.201171875 129.64516129 115.0 148.0 129.0625 7.83389382575 -0.239646676695 0.293903916349
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_29.lsm" 1 "wap" 315 91 25 22.5258696049 6.47989984403 6.04678809739 1.46101773979 0.675660705545 149.864864865 188.0 148.994140625 142.756756757 129.0 163.0 142.1875 8.32468019207 -0.558489881078 0.434007700213
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_29.lsm" 1 "wap" 272 151 32 19.4095862902 10.7969701507 7.7016934145 1.89830711622 0.801671590901 102.283018868 144.0 99.193359375 139.566037736 117.0 158.0 140.4375 9.50609001957 -0.63179703683 -0.113930797721
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_29.lsm" 1 "wap" 263 147 34 18.7985075532 10.4843847832 8.13113328582 1.46886722071 0.679960836673 127.545454545 169.0 125.318359375 144.295454545 122.0 167.0 144.8125 11.1388270132 -0.762188812246 0.0371812980005
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_29.lsm" 1 "cas" 294 147 12 21.0080966247 10.4629480051 2.94859504891 0.373360698015 0.204069373139 100.33640553 183.0 93.966796875 108.898617512 30.0 173.0 119.4375 32.2126736033 -0.926701314791 -0.462576756513
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_29.lsm" 1 "cas" 357 182 30 25.4959362627 13.0312680568 7.17871626932 0.287728336953 0.156401113821 96.6329113924 172.0 90.794921875 116.841772152 50.0 153.0 122.0625 22.7743072781 0.303657725755 -0.857520910897
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_29.lsm" 1 "cas" 206 136 34 14.7389000014 9.72500299494 8.10232762166 0.231352508023 0.106584343513 83.8505747126 134.0 82.865234375 113.91954023 58.0 168.0 115.0625 29.3904027963 -1.0734553767 -0.138851974484
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_29.lsm" 1 "cas" 337 155 36 24.0461355699 11.0332700303 8.59717472119 0.532799624617 0.289413779164 98.1486486486 179.0 89.208984375 120.256756757 62.0 159.0 121.1875 20.2830721357 -0.200190908943 -0.373344002324
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_29.lsm" 2 "wap" 266 426 17 18.9709865531 30.4181548912 4.13439664218 0.913804844748 0.489839437458 101.382978723 151.0 98.376953125 125.308510638 101.0 146.0 124.6875 8.72769241909 0.326098219289 -0.071565315846
