"stimulation" "img" "nucleus" "x.nucleus" "y.nucleus" "z.nucleus" "threshold" "gene" "x.gene" "y.gene" "z.gene"
"yes" "20070410_02.lsm" 1 309 399 25 67 "wap" 323 389 28
"yes" "20070410_02.lsm" 2 272 115 28 67 "wap" 276 112 30
"yes" "20070410_04.lsm" 1 242 295 24 70 "wap" 180 216 19
"yes" "20070410_08.lsm" 2 95 257 23 53 "wap" 98 253 22
"yes" "20070410_09.lsm" 2 93 119 25 60 "wap" 63 126 34
"yes" "20070410_09.lsm" 3 387 158 28 60 "wap" 399 148 36
"yes" "20070410_12.lsm" 1 365 364 17 52 "wap" 344 334 9
"yes" "20070410_19.lsm" 1 319 414 23 83 "wap" 357 412 33
"yes" "20070410_19.lsm" 2 378 264 30 83 "cas" 308 282 51
"yes" "20070411_26.lsm" 1 112 215 14 41 "cas" 119 253 11
"yes" "20070411_32.lsm" 1 264 219 18 61 "cas" 368 177 12
"yes" "20070411_32.lsm" 1 264 219 18 61 "cas" 357 119 26
"yes" "20070411_34.lsm" 1 271 248 19 86 "wap" 215 217 24
"yes" "20070411_38.lsm" 3 156 386 19 39 "wap" 167 417 18
"yes" "20070411_40.lsm" 1 380 163 19 72 "wap" 411 186 23
"yes" "20070411_40.lsm" 2 155 348 21 72 "wap" 134 344 23
"yes" "20070411_40.lsm" 2 155 348 21 72 "wap" 138 344 23
"yes" "20070411_43.lsm" 1 294 95 21 45 "cas" 225 122 22
"yes" "20070411_43.lsm" 1 294 95 21 45 "cas" 222 128 29
"yes" "20070411_43.lsm" 2 257 402 22 45 "cas" 324 382 20
"yes" "20070411_43.lsm" 2 257 402 22 45 "cas" 325 382 22
"no" "wap_cas_20070320_11m2.lsm" 1 304 233 16 35 "wap" 319 265 13
"no" "wap_cas_20070320_11m2.lsm" 1 304 233 16 35 "wap" 320 274 13
"no" "wap_cas_20070320_16m2.lsm" 2 298 142 39 49 "wap" 224 154 36
"no" "wap_cas_20070320_16m2.lsm" 2 298 142 39 49 "wap" 219 158 40
"no" "wap_cas_20070320_2m2.lsm" 1 298 241 12 87 "wap" 300 289 10
"no" "wap_cas_20070320_2m2.lsm" 1 298 241 12 87 "wap" 300 289 13
"no" "wap_cas_20070320_4m1.lsm" 1 286 253 15 82 "wap" 245 340 21
"no" "wap_cas_20070320_4m1.lsm" 1 286 253 15 82 "wap" 241 333 18
"stimulation" "img" "nucleus" "x.nucleus" "y.nucleus" "z.nucleus" "threshold" "gene" "x.gene" "y.gene" "z.gene"
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_45.lsm" 1 326 229 13 58 "wap" 400 240 11
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_45.lsm" 1 326 229 13 58 "wap" 409 242 11
"yes" "cells_est/ip_cas-fitc_wap-cy5.mdb/20070626_66.lsm" 4 418 313 33 64 "cas" 365 354 30
"no" "cells_no-est/ip_cas-fitc_wap-cy5/20070604.mdb/20070604_29.lsm" 2 297 407 28 66 "wap" 238 422 39
