"stimulation" "img" "nucleus" "x.nucleus" "y.nucleus" "z.nucleus" "threshold" "gene" "x.gene" "y.gene" "z.gene" "px" "py" "pz" "dist" "ci"
"yes" "20070410_02.lsm" 1 309 399 25 67 "wap" 323 389 28 23.7863014 28.6466602 6.72 2.16000032425 0.909914910793
"yes" "20070410_02.lsm" 2 272 115 28 67 "wap" 276 112 30 20.3251368 8.2478816 7.2 1.68000030518 0.866878807545
"yes" "20070410_04.lsm" 1 242 295 24 70 "wap" 180 216 19 8.569224 10.2830688 4.56 0.41887140274 0.246688738465
"yes" "20070410_08.lsm" 2 95 257 23 53 "wap" 98 253 22 7.9979466 20.6477601 5.28 2.40277314186 0.994174599648
"yes" "20070410_09.lsm" 2 93 119 25 60 "wap" 63 126 34 5.9984568 11.9969136 8.16 0.86315792799 0.514392375946
"yes" "20070410_09.lsm" 3 387 158 28 60 "wap" 399 148 36 37.9902264 14.0916128 8.64 0.239999771118 0.13135266304
"yes" "20070410_12.lsm" 1 365 364 17 52 "wap" 344 334 9 24.5651088 23.8510068 2.16 0.480000138283 0.331006973982
"yes" "20070410_19.lsm" 1 319 414 23 83 "wap" 357 412 33 23.9001147 27.5822052 7.92 2.09096479416 0.877846419811
"yes" "20070410_19.lsm" 2 378 264 30 83 "cas" 308 282 51 20.6197068 18.8790822 12.24 0.0 0.0
"yes" "20070411_26.lsm" 1 112 215 14 41 "cas" 119 253 11 11.3304184 24.0890408 2.64 0.480000019073 0.421265691519
"yes" "20070411_32.lsm" 1 264 219 18 61 "cas" 368 177 12 17.5193024 8.4264036 2.88 0.240000009537 0.153146132827
"yes" "20070411_32.lsm" 1 264 219 18 61 "cas" 357 119 26 16.9956276 5.6652092 6.24 -0.306369781494 -0.421844959259
"yes" "20070411_34.lsm" 1 271 248 19 86 "wap" 215 217 24 10.235462 10.3306756 5.76 0.719999790192 0.485671788454
"yes" "20070411_38.lsm" 3 156 386 19 39 "wap" 167 417 18 11.7391648 29.3127648 4.32 2.15999984741 0.996770501137
"yes" "20070411_40.lsm" 1 380 163 19 72 "wap" 411 186 23 33.5424087 15.1797762 5.52 1.19999980927 0.688882410526
"yes" "20070411_40.lsm" 2 155 348 21 72 "wap" 134 344 23 10.9359678 28.0744248 5.52 0.966913104057 0.739635884762
"yes" "20070411_40.lsm" 2 155 348 21 72 "wap" 138 344 23 11.2624146 28.0744248 5.52 0.960000038147 0.725231826305
"yes" "20070411_43.lsm" 1 294 95 21 45 "cas" 225 122 22 18.3626325 9.9566274 5.28 0.182489156723 0.0640657022595
"yes" "20070411_43.lsm" 1 294 95 21 45 "cas" 222 128 29 18.1177974 10.4462976 6.96 0.0 0.0
"yes" "20070411_43.lsm" 2 257 402 22 45 "cas" 324 382 20 26.4421908 31.1756694 4.8 0.0 0.0
"yes" "20070411_43.lsm" 2 257 402 22 45 "cas" 325 382 22 26.5238025 31.1756694 5.28 -0.0816116333008 -0.150679275393
"no" "wap_cas_20070320_11m2.lsm" 1 304 233 16 35 "wap" 319 265 13 15.1865692 12.615802 3.12 1.54991257191 0.873880684376
"no" "wap_cas_20070320_11m2.lsm" 1 304 233 16 35 "wap" 320 274 13 15.234176 13.0442632 3.12 1.47191119194 0.857749581337
"no" "wap_cas_20070320_16m2.lsm" 2 298 142 39 49 "wap" 224 154 36 15.9958848 10.9971708 8.64 0.986026465893 0.563001215458
"no" "wap_cas_20070320_16m2.lsm" 2 298 142 39 49 "wap" 219 158 40 15.6388338 11.2828116 9.6 1.33630979061 0.696816027164
"no" "wap_cas_20070320_2m2.lsm" 1 298 241 12 87 "wap" 300 289 10 21.42306 20.6375478 3.71812 1.61859822273 0.757162034512
"no" "wap_cas_20070320_2m2.lsm" 1 298 241 12 87 "wap" 300 289 13 21.42306 20.6375478 4.833556 1.9333562851 0.851433873177
"no" "wap_cas_20070320_4m1.lsm" 1 286 253 15 82 "wap" 245 340 21 11.663666 16.186312 7.611429 0.724897384644 0.397797048092
"no" "wap_cas_20070320_4m1.lsm" 1 286 253 15 82 "wap" 241 333 18 11.4732388 15.8530644 6.524082 1.25685501099 0.641701221466
"yes" "20070411_13.lsm" 1 287 229 20 85 "wap" 270 303 22 12.853836 14.4248604 5.28 1.67999982834 0.902059674263
