"stimulation" "img" "nucleus" "size" "elongation" "x" "y" "z" "mean" "sigma" "threshold" "otsu"
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_28.lsm" 1 4.71244593358 565.742147527 301 240 18 91.919101102 19.8293052516 50 46
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_29.lsm" 1 1.81404957495 588.313263735 279 128 27 124.672843731 22.3767301332 66 61
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_29.lsm" 2 2.32720758963 545.927313859 297 407 28 120.432954469 22.1624142225 66 61
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_30.lsm" 1 2.48943910805 481.835126561 252 221 17 81.4297578833 15.1103179001 44 40
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_31.lsm" 1 1.23817206882 654.508781012 292 105 25 115.36294165 18.8468677199 63 60
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_31.lsm" 2 1.27191680026 519.654522559 259 372 26 127.106907054 23.3259853012 63 60
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_32.lsm" 2 1.54245204021 515.559253611 109 90 21 143.696196701 23.2917907336 80 73
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_32.lsm" 3 1.67290184085 471.66032839 202 414 22 124.37892935 19.3779390497 80 73
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_32.lsm" 4 1.9053015904 462.947465731 409 186 23 151.704800231 27.6980714354 80 73
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_33.lsm" 1 1.33274255038 555.001472238 408 394 29 156.776101712 28.3961519036 82 80
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_33.lsm" 2 1.28108586238 528.927513398 84 220 30 163.480572678 31.1316301007 82 80
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_33.lsm" 3 1.434580021 566.779214261 282 339 30 153.584815901 27.1028581267 82 80
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_34.lsm" 1 1.2452705587 494.857260047 341 314 32 152.300828343 29.842979083 76 72
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_34.lsm" 2 1.65490317485 579.946547539 94 322 32 142.445169762 26.0290495889 76 72
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_34.lsm" 3 2.82467035049 642.549443853 387 163 37 130.75699827 23.0963248579 76 72
"no" "cells_no-est/ip_cas-fitc_wap-cy5.mdb/20070604_35.lsm" 1 1.23829457894 549.909057226 89 313 29 135.363500801 23.7987797752 72 69
